Empresa;Ação;P/L;P/VP;DY;ROE;Valor;Valor Alvo;Volume
RPMG3;PET MANGUINHOS ;-0.15;-0.03;-;-21,50%;2,01;0,00
TCSA3;TECNISA ;21.39;0.44;-;2,06%;3,56;3.53
PCAR4;Grupo Pão de Açúcar ;-3.04;0.48;-;-15,90%;;0,00
BMKS3;BICICLETAS MONARK ;5.34;0.73;-;13,64%;329,00;0,00
CLSC3;CELESC ;4.02;0.66;1,97%;16,32%;52,00;0,00
SOMA3;GRUPO SOMA ;25.76;1.18;-;4,57%;11,21;13.83
BTOW3;B2W DIGITAL ;-30.84;0.89;-;-2,89%;14,67;0,00
NEMO5;SUZANO HOLDING ;0.06;0.03;-;47,41%;1,83;0,00
AGXY3;Agrogalaxy ;22.98;0.7;-;3,06%;5,93;16.27
BSEV3;BIOSEV ;10.22;-10.84;-;-106,05%;9,00;0,00
BSEV3;BIOSEV ;10.22;-10.84;-;-106,05%;9,00;0,00
ATOM3;ATOM EMPREENDIMENTOS ;14.87;2.3;-;15,50%;2,43;0,00
VITT3;Vittia ;10.99;2.75;-;24,99%;11,28;16.13
COCE6;COELCE ;1.8;0.27;12,48%;15,12%;14,10;0,00
LVTC3;Livetech da Bahia ;19.42;0.57;-;2,95%;5,67;5.85
RCSL4;RECRUSUL ;-2.23;29.7;-;-1.330,62%;0,77;0,00
ESPA3;Espaçolaser ;-12.29;0.71;-;-5,75%;1,75;2.23
PORT3;WILSON SONS ;17.24;2.07;2,94%;12,02%;10,60;14.40
COCE5;COELCE ;6.76;1.02;3,33%;15,12%;52,83;0,00
BRPR3;BR PROPERTIES ;-0.47;0.39;-;-82,50%;62,83;14.27
RAIZ3;Raízen ;-;-;-;10,97%;0,00;0,00
CESP3;CESP ;3.2;0.81;-;25,38%;25,55;0,00
DMVF3;D1000 VAREJO FARMA PARTICIPAÇÕES S.A. ;14.01;0.28;-;2,00%;4,69;5.00
DASA3;DASA ;-10.67;0.93;0,86%;-8,69%;11,23;13.47
EMAE4;EMAE  EMPRESA METROP.AGUAS ENERGIA ;37.92;2.03;2,35%;5,35%;62,73;0,00
SLED4;SARAIVA ;0.1;-0.03;-;-29,31%;1,09;0,00
IGTI3;JEREISSATI ;45.99;0.83;1,92%;1,80%;2,73;3.90
PDGR3;PDG REALTY ;-0.05;-0;-;-6,66%;5,70;0,00
GETT11;GETNET ;7.56;1.24;2,14%;16,41%;4,81;0,00
PATI3;PANATLANTICA ;14.21;1.24;1,10%;8,73%;43,79;0,00
CSAB4;CIA SEGUROS ALIANÇA DA BAHIA ;22.84;1.91;1,35%;8,36%;49,00;0,00
HBTS5;HABITASUL ;5.92;0.71;-;11,94%;39,00;0,00
MRSA3B;MRS LOGÍSTICA ;9.61;1.56;-;16,25%;26,00;0,00
EEEL4;CEEEGT ;4.54;2.13;-;46,84%;410,00;0,00
CSRN6;COSERN ;6.25;2.43;10,04%;38,87%;22,29;0,00
MERC4;MERCANTIL DO BRASIL FINANCEIRA ;-29.22;0.54;5,96%;-1,85%;7,55;0,00
MOSI3;MOSAICO ;32.29;1.56;-;4,82%;8,24;0,00
SHOW3;TIME FOR FUN ;-35.31;1.5;-;-4,25%;2,90;0,00
DOHL4;DOHLER ;2667.97;0.63;-;0,02%;5,89;0,00
OPCT3;OceanPact ;-9.45;1.13;-;-11,96%;4,22;7.00
BSLI3;BRB ;19.41;2.6;1,03%;13,38%;16,34;0,00
INEP4;INEPAR ;-0.41;-0.09;-;-21,88%;0,84;0,00
BRIV3;BANCO ALFA DE INVESTIMENTO ;8.18;0.52;2,13%;6,37%;10,00;0,00
CATA3;CIA INDUSTRIAL CATAGUASES ;0.62;0.09;19,03%;13,89%;103,61;0,00
LPSB3;LOPES BRASIL ;25.34;1.85;-;7,32%;2,46;6.70
G2DI33;G2D INVESTMENTS ;-0.86;0.27;-;-30,88%;2,24;7.73
SULA3;SUL AMÉRICA ;52.32;1.13;0,27%;2,17%;7,43;0,00
LINX3;LINX ;-90.8;4.37;-;-4,81%;37,34;0,00
SHUL3;SCHULZ ;32.2;8.62;0,30%;26,78%;27,73;0,00
LTEL3B;LITEL ;0;0;11.500,83%;48,04%;0,01;0,00
LTEL3B;LITEL ;0;0;11.500,83%;48,04%;0,01;0,00
AZEV4;AZEVEDO E TRAVASSOS ;-1.17;1.68;-;-143,32%;1,74;0,00
TFCO4;TRACK E FIELD ;8.36;2.44;1,59%;29,17%;11,80;14.20
BMEB3;BANCO MERCANTIL DO BRASIL ;6;0.9;2,21%;14,97%;11,50;0,00
RSUL4;RIOSULENSE ;5.62;2.43;4,52%;43,26%;64,38;0,00
SMFT3;SMARTFIT ;142.13;2.75;-;1,94%;20,40;22.00
IGTI11;JEREISSATI ;127.24;2.29;1,62%;1,80%;22,66;27.20
CEBR5;CEB ;4.29;0.87;11,95%;20,37%;12,48;0,00
LAND3;TERRA SANTA ;15.89;3.42;5,66%;21,53%;23,95;0,00
CRIV3;FINANCEIRA ALFA ;21.53;0.53;4,38%;2,45%;5,41;0,00
MMXM3;MMX MINERAÇÃO E METÁLICOS ;-2.17;-0.11;-;-4,97%;14,00;0,00
NUTR3;NUTRIPLANT ;100.71;21.68;-;21,52%;5,17;0,00
CASN3;CASAN ;163.76;5.25;-;3,21%;10,45;0,00
CTNM4;COTEMINAS ;-0.37;0.18;-;-49,82%;3,71;0,00
CEEB5;COELBA ;5.7;1.45;14,13%;25,40%;35,24;0,00
MNPR3;MINUPAR ;3.25;-0.21;-;-6,56%;9,85;0,00
ALPK3;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A ;-5.56;2.16;-;-38,84%;3,86;5.00
VSPT3;FERROVIA CENTROATLÂNTICA S.A. ;-0.3;0.37;-;-122,98%;5,00;0,00
BDLL4;BARDELLA ;0.24;-0.13;-;-53,69%;10,00;0,00
BOBR4;BOMBRIL ;6.3;-3.05;-;-48,40%;1,60;0,00
RSUL3;RIOSULENSE ;0;0;-;43,26%;0,04;0,00
BRGE3;CONSÓRCIO ALFA DE ADMINISTRAÇÃO ;16.46;1.07;-;6,50%;9,99;0,00
TESA3;TERRA SANTA AGRO ;-6.21;0.76;-;-12,18%;22,43;0,00
BRIV4;BANCO ALFA DE INVESTIMENTO ;8.21;0.52;6,18%;6,37%;10,04;0,00
CSRN5;COSERN ;7.3;2.84;8,61%;38,87%;26,00;0,00
CEPE3;CELPE ;83.05;5.98;0,42%;7,21%;128,00;0,00
DEXP4;DEXXOS PARTICIPAÇÕES ;6.6;1.47;-;22,29%;9,65;0,00
CSED3;CRUZEIRO DO SUL EDUCACIONAL ;90.18;0.99;-;1,10%;3,59;5.72
DMMO11;DOMMO ENERGIA ;-97.19;-0.64;-;-0,66%;0,34;0,00
EALT3;ELECTRO ACO ALTONA ;5.56;0.91;-;16,29%;8,55;0,00
CEED3;CEEED ;-8.73;-0.78;-;-8,94%;30,90;0,00
ORVR3;Orizon ;-20.67;4.88;-;-23,59%;36,69;47.27
PEAB4;CIA PARTICIPAÇÕES ALIANÇA DA BAHIA ;50.95;1.07;0,92%;2,09%;57,01;0,00
POWE3;FOCUS ;23.91;0.99;-;4,14%;10,90;0,00
VSTE3;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS ;117.22;13.87;0,68%;11,83%;16,70;0,00
HAGA4;HAGA ;-0.12;-0;-;-0,22%;1,23;0,00
CEGR3;CEG ;80.09;18.68;1,16%;23,32%;88,32;0,00
BSLI4;BRB ;14.33;1.92;1,54%;13,38%;12,06;0,00
CRPG3;TRONOX PIGMENTOS DO BRASIL ;14.67;1.73;10,51%;11,82%;50,01;0,00
RDNI3;RNI NEGÓCIOS IMOBILIÁRIOS ;12.65;0.4;2,53%;3,15%;5,83;0,00
